toxic_sentence,non_toxic_sentence,lang
pues hazme los deberes furcia barata,"Bueno, haz mi tarea.",es
Conclusión: pura mierda de paranormal....,Conclusión: pura de paranormal.,es
Algunos pierden la cabeza por llegar a Paguitalandia.,algunos se desgastan por llegar a Paguitalandia,es
"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.","Si la izquierda no hubiera hecho tanto daño a Chile, probablemente las cosas habrían sido mejores.",es
No se puede tener peor gusto diseñando camisetas pa una peña  Que verguenza maricon,No se puede tener peor gusto diseñando camisetas pa una peña  Que vergüenza.,es
Que analogía rebuscada y de mierda,Qué analogía confusa,es
"Periodismo de mierda justificando esto !""","Periodismo justificando esto !""",es
JAJAJAJAJJAJA que vas a eclipsar tú y el otro subnormal xd,Jajajajaja qué vas a eclipse tú y el otro xd,es
"Pero que lo haga el gobierno y saqué pasta, vamos gilipollas, que os podéis forrar","Que el gobierno lo gestione y obtenga beneficios, es decir, que aprovechen la oportunidad.",es
"Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.","Yo no me haría nunca un twitter, eso está lleno de rojos.",es
Esperando reacciones de los perroflautas de #podemos,Esperando reacciones de que podemos,es
Paco llegado este punto nos da igual con tal de olvidarnos del PP y su estado fascista,Llegado a este punto es igual con tal de olvidarnos del PP y su estado,es
"Marhuenda, ese gilipollas que dice que es catalán solo cuando pretende dañar a todos los catalanes, llama...","Maruenda, este que dice ser Catalán solo cuando pretende hacer daño a todos los catalanes, llama...",es
"ESTA NOCHE, MANDA MI POLLA (un primo suyo)",Esta noche manda mi primo,es
"Lo veo bien, deja cada uno varias pensiones pagadas y se va a su pais.","Lo considero aceptable, siempre y cuando cada uno deje varias pensiones pagadas antes de regresar a su país.",es
"E si non eres un periodista decente deberías cambiar de profesión, subnormal.",E si non eres un periodista decente deberías cambiar de profesión.,es
"Estás enfermo y no quieres ver.

Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes.","Tienes un problema y no quieres ver. 
Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes.",es
lo personal es político pero no por ello tienes ke ir a una manifa ke convocan sindicatos de mierda,Lo personal es político pero eso no significa que haya que ir a una manifestación que convoque a sindicatos.,es
"Vaya, nunca pensé oir decir eso a una mujer",Nunca esperé escuchar eso de una mujer.,es
Excepto si te lo envenenan con mierdas,Excepto si lo envenenan con cosas,es
Este país se va a la mierda,nada puede salvar a este país,es
"Los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio.","Los halagos y buenos modales siempre hacen bien, menos a los izquierdas de la cultura del odio.",es
Te das cuenta la panda de retrasados que se han puesto a soltar espumarajos?,Te das cuenta qué ridiculous se han puesto a soltar espumajaros.,es
La única solución es irse de este país de mierda.,La única solución es irse de este país.,es
Sigue existiendo mucha basura en España que limpiar y no solo en lo politico.,Sigue existiendo mucha cosas en España que limpiar y no solo en lo politico.,es
Los centros de menores no tutelados son escuelas de delincuentes. ,Los centros de menores no tutelados pueden presentar desafíos en la prevención del comportamiento delictivo.,es
Esto para un pedazo de retrasado como tu:,Esto para ti:,es
"fijate, todo tiene su lado bueno, hasta el puto coronabicho","Fíjate, todo tiene su lado bueno.",es
: #ModeloPodemos Ser comunistas y joder España  #LaHoraAzulPP278,: #Modelpodemos ser comunistas y vencer a España  # LaHoraAzulPP278,es
el Partido Socialista de Andalucía son una banda de delincuentes y chorizos,el Partido Socialista de Andalucía no son honrados,es
Los mejores los más preparados para cortar cabezas,Los mejores los más preparados para realizar el trabajo,es
Y además te apellidas Castillo. Hay que ser un charnego retrasado encima..,Y además te apellidas Castillo.,es
"Son los mejores. Paguita, alquiler y seguridad social ya. Rasistas","Son los mejores. Paguita, alquiler y seguridad social ya.",es
La mitad catalana borrega independentista sigue creyéndose sus mentiras.,La mitad catalana independentista sigue creyéndose sus mentiras,es
pues mucho  no entiendo pq llamarlo asi cuando la palabra no es ofensiva  putos progres,Pues mucho no entiendo pq llamarlo asi cuando la palabra no es ofensiva,es
Este es el maricón de Aida?,Este es el de Aida?,es
gummy cuando te pones subnormal eres un tocacojones,"Gummy, cuando te comportas de manera inapropiada, te vuelves una molestia.",es
y snk ultima temp pronto   pd rachel puta zorra la traicion no se perdona,ps rachel la traición no se perdona,es
"Lo que Cuba hace, como siempre, es propaganda mentirosa para que descerebrados como Nuñez repitan como loros.","Lo que Cuba está haciendo, como siempre, es propaganda para que gente como Núñez repita.",es
Este wifi boliguayo de mierda,Este mal wifi boliviano,es
"los Salesianos de San Francisco de Sales, Los Marianistas y los fascistas vecinos del San Cirano nos ablandaron en exceso.","los Salesianos de San Francisco de Sales, Los Marianistas y los vecinos del San Cirano nos ablandaron en exceso.",es
"Habla español, catalán de mierda 😋",Habla español,es
Por mucho que intentes ser del Madrid nunca dejaras de ser un sudaca xd,Por mucho que intentes ser del Madrid nunca dejaras de ser un sudamericano xd,es
"Estaba tan bien durmiendo hasta q vino roco a despertarme, enano de mierda😒",Estaba tan bien durmiendo hasta q vino roco a despertarme 😒,es
No creo que haya en el mundo alguien que me dé más asco y sea más subnormal que Dani Rovira.,No soporto a Dani Rovira,es
"Este cabron está peor que los 1,200 que están por llegar",Es peor que los 1.200 que aún están por venir,es
Esos comunistas nazis judeo musulmanes creyéndose los reyes de la física,Esa gente creyéndose los reyes de la física.,es
Tu también Matt Reeves y tus putas ideas pendejas,Tu también Matt Reeves y tus ideas,es
"Que traigan otro cargamento, necesitamos más pagapensiones son una inversión de futuro.","Que traigan otro cargamento, necesitamos más contribuyentes para asegurar las pensiones; son una inversión de futuro.",es
para vos y todos los trolos panelistas putos de Fox,Para vos y todos los de Fox,es
Yo soy así puto moro,Yo soy así,es
"Charnego mañana salgo para ir a trabajar,  cosa que tu no sabes lo que es...","mañana salgo para ir a trabajar,  cosa que tu no sabes lo que es...",es
"Y a mí qué me importa lo que tú ""notes"", facha?","Y a mí qué me importa lo que tú ""notes""?",es
"unos vecinos del primero son más rojos y perroflautas que la hostia, les he dejado 6 entradas en el buzón","unos vecinos del primero son comunistas, les he dejado 6 entradas en el buzón",es
Pues puede trabajar de carnicero para pagar pensiones,Entonces podría trabajar como carnicero para cubrir las pensiones.,es
"Un cargador escaso de argumentario, parece.",Parece que tienes un cargador escaso de argumentos.,es
A Emery se la devuelven por subnormal. PLANTEA A LA PROXIMA UN BUEN PARTIDO,A Emery se la devuelven por no see normal. PLANTEA A LA PROXIMA UN BUEN PARTIDO,es
O sea que ahora la mafia tiene viajes de ida y vuelta,Así que ahora la mafia ofrece viajes de ida y vuelta.,es
"A su vez que no es lo mismo ser cristiano que catolico , pero tu eres CATETA.",A su vez que no es lo mismo ser cristiano que catolico.,es
"el término correcto es ""seres humanos de color crema""","El término correcto es ""personas de tono crema"".",es
"Olé sus huevos morenos (los del periodista). Si hablas de expulsar del pais a alguien, porque omites la nacionalidad.","si hablas de expulsar a alguien de el pais, porque omites la nacionalidad",es
"#CeseDefinitivoCPCCS estos miserables su salida del CPCCS va hacer mas rápido q su puta nombramiento,","#CeseDefinitivoCPCCS  su salida del CPCCS va hacer mas rápido que su nombramiento,",es
Ahora un nazi en RTVE #lahoraespinosadelosmonteros,Ahora este hombre en RTVE #lahoraespinosadelosmonteros,es
"muy ateos que sois pero bien que os gustaría ser dios, eh? malditos hipocritas","Muy ateos que sois pero bien que os gustaría ser dios, eh? Es un poco hipócrita.",es
"Hostia, como la quimioterapia, nos hace daño, pero si aguantamos lo suficiente, podemos vencer al cáncer.","Como la quimioterapia, nos hace daño, pero si aguantamos lo suficiente, podemos vencer al cáncer.",es
ESPAÑA CORRUPPCIÓN Derecha PP fascista franquista gobernando con 30% en España no entiende porqué Cataluña quiere Independencia y República.,ESPAÑA un partido de derecha CORRUPTO que gobierna con el 30% en España no entiende por qué Cataluña quiere la Independencia y la República.,es
"Pues a mi me recuerda tus diversas lesiones graves y me descojono, subnormal. Acabado.","Bueno, me recuerda tus diversas lesiones graves y me enfado.",es
"Mientras tanto, la gente matandose a currar como cabrones para vivir en una puta colmena","Mientras tanto, la gente trabaja arduamente para vivir en espacios muy reducidos.",es
porque no tenéis a un subnormal por entrenador.,porque no tenéis a un loco por entrenador.,es
"Quién te querría besar a ti, mongolo.",Quien te querria besar a ti,es
"que asco de gente dios, que busquen el significado de hembrismo y de feminismo y luego hablan","Que terrible gente dios, que busquen el significado de hembrismo y de feminismo y luego hablan",es
"Los políticos lo toleran todo lo que no va contra ellos, baste fijarse en Iglesias, con su casoplón.","Los políticos toleran todo lo que no les afecta directamente, basta con observar a Iglesias y su gran casa.",es
Aquí va una canción para todos y cada uno de los putos fascistas del PP… Fuck You de Lily Allen,Aquí tenéis una canción para todos y cada uno de los PP... You de Lily Allen,es
"Está viniendo lo mejor de cada casa para mejorar el país, sin duda alguna.","Están viniendo personas con talento de diversos orígenes para contribuir al progreso del país, sin duda alguna.",es
Que cabron el que publicó la foto de los finalistas de master chef😡😂😂,Que malo el que publicó la foto de los finalistas de master chef😡😂😂,es
qué bonito es ver a fachas rabiar dios me ahogo,qué bonito es ver a fachas rabiar dios,es
Cuánto facha de mierda en una mención voy a vomitar,Cuanta apariencia en una mención voy a vomitar,es
Pero sois periodistas o idiotas? Aún estando en catalán pone Franquismo!,Son periodistas o qué aún estando en catalán ponen franquismo,es
hay que ser hp para robar un zumo en alta mar.,Hay que ser inconciente para robar un zumo en alta mar,es
La última mamarrachada de EA es tremenda.,La última payasada de EA es tremenda.,es
"Es su cultura y hay que respetarla. Un abrazo desde Ronda, Málaga.","Es importante respetar su cultura. Un saludo desde Ronda, Málaga.",es
¿Van a seguir con el mismo tema de los comediantes mediocres?,¿Van a seguir con el mismo tema de los comediantes?,es
no te sale bien el catalán prueba en francés... chupala hijo puta 😂😂😂,No te sale bien el catalan prueba en francés,es
Antes me como un whopper que decir algo bueno del subnormal ese,Antes me como un Whopper porque decir algo de él,es
Daros prisa. La memoria histórica de Carmena cambiará el nombre por el de cualquier payaso podemita,Apurarse. La memoria histórica de Carmena cambiará su nombre por otro nombre podemita.,es
